id,station_name,street_address,city,province,latitude,longitude,ev_network,ev_dc_fast_count,ev_level2_evse_num,ev_connector_types,groups_with_access_code,access_days_time,open_date
87663,Tim Horton's,1180 Wilson St,Ancaster,Ontario,43.196149,-80.020687,Non-Networked,1,1.0,CHADEMO J1772 J1772COMBO,Public - Credit card at all times,24 hours daily,2017-06-01
158069,Canadian Tire Corp,1060 Wilson St W,Ancaster,Ontario,43.1998063,-80.0138415,Non-Networked,1,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
158068,Real Canadian Superstore,337 South Service Rd,Grimsby,Ontario,43.2042798,-79.5898923,Non-Networked,1,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
85148,Casablanca Winery Inn & Spa - Tesla Supercharger,4 Windward Drive,Grimsby,Ontario,43.209697,-79.600861,Tesla,8,0.0,TESLA,Public,24 hours daily; for Tesla use only,2016-05-15
121558,Audi Hamilton,1215 Upper James St,Hamilton,Ontario,43.215631,-79.887013,Non-Networked,1,0.0,CHADEMO J1772COMBO,Public,Dealership business hours; access code required,2019-01-01
122253,CF Lime Ridge - Tesla Supercharger,999 Upper Wentworth Street,Hamilton,Ontario,43.216698,-79.86401,Tesla,20,0.0,TESLA,Public,24 hours daily; for Tesla use only,2019-03-01
129489,FLO - Cadillac Fairview -  Lime Ridge Mall,999 Upper Wentworth St.,Hamilton,Ontario,43.217348,-79.86265,FLO,1,2.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2019-07-17
94489,Transit: 3554 Stoney Creek,155 Green Road,Stoney Creek,Ontario,43.220618,-79.734423,EV Connect,1,0.0,CHADEMO J1772COMBO,Public,Unknown,2017-08-01
200835,Mobil,856 Upper Sherman Ave,Hamilton,Ontario,43.22103022,-79.85242496,CHARGELAB,4,0.0,CHADEMO J1772COMBO,Public - Credit card at all times,24 hours daily,2021-11-11
210194,Shell Canada Ltd,10 Legend Court,Ancaster,Ontario,43.22695136,-79.94778996,Non-Networked,2,0.0,Unknown,PLANNED - not yet accessible (Public),Unknown,
223661,Shell Canada Limited,10 Legend Ct,Ancaster,Ontario,43.22695136,-79.94778996,Non-Networked,1,0.0,Unknown,PLANNED - not yet accessible (Public),Unknown,
157850,Ontario Charging Network LP-Canadian Tire,686 Queenston Rd,Hamilton,Ontario,43.2285,-79.77316,Non-Networked,2,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
189168,Stoney Creek,686 QUEENSTON ROAD,Hamilton,Ontario,43.2286,-79.77384,Electrify Canada,4,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2021-05-04
129490,FLO - Canadian Tire - Hamilton Mountain,777 Upper James St,Hamilton,Ontario,43.228748,-79.880776,FLO,1,2.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2019-07-17
158054,Meadowlands Power Centre,14 Martindale Crescent,Hamilton,Ontario,43.2296491,-79.9395532,Non-Networked,2,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
208806,ChargerCrew Canada Inc,36 Ontario Street N,Grand Bend,Ontario,43.313898,-81.755071,Non-Networked,1,0.0,Unknown,PLANNED - not yet accessible (Public),Unknown,
122287,Mapleview Centre - Tesla Supercharger,900 Maple Avenue,Burlington,Ontario,43.326276,-79.822231,Tesla,16,0.0,TESLA,Public,24 hours daily; for Tesla use only,2019-03-01
83023,IKEA,1065 Plains Rd E,Burlington,Ontario,43.328164,-79.828969,Non-Networked,4,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2017-02-01
219883,AURA Burlington Centre,777 Guelph Line,Burlington,Ontario,43.347144,-79.793638,FLO,3,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2022-05-26
158053,Burlington Centre,777 Guelph Line,Burlington,Ontario,43.3485131,-79.7935979,Non-Networked,2,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
231060,Transit: 3240 Stratford,10 Wright Blvd.,Stratford,Ontario,43.360529,-81.008506,EV Connect,1,0.0,CHADEMO J1772COMBO,Public,Unknown,2022-09-30
94487,Scotiabank,10 Wright Blvd,Stratford,Ontario,43.360712,-81.008414,Non-Networked,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2017-08-01
204889,Canadian Tire - Tesla Supercharger,100 Thames Rd E,Exeter,Ontario,43.3626527,-81.4795456,Tesla,8,0.0,TESLA,Public - Credit card at all times,24 hours daily,2022-01-13
87668,Transit: 82032 Burlington,5385 Lakeshore Rd east,Burlington,Ontario,43.368077,-79.730392,EV Connect,1,0.0,CHADEMO J1772COMBO,Public,Unknown,2017-06-01
84915,Burlington Nissan,4111 N Service Rd,Burlington,Ontario,43.369599,-79.785139,Non-Networked,2,3.0,CHADEMO J1772,Private - Call ahead,24 hours daily,2011-04-15
212245,Stratford,1093 Ontario Street,Stratford,Ontario,43.37079,-80.94386,FLO,2,1.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2022-03-23
94488,Transit: 3654 Stratford,1 Ontario Street,Stratford,Ontario,43.37117,-80.984129,EV Connect,1,0.0,CHADEMO J1772COMBO,Public,Unknown,2017-08-01
85149,Tim Horton's,1470 Highway 6,Hamilton,Ontario,43.376783,-80.00409,Non-Networked,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2017-05-15
210215,Shell Canada Ltd,3451 Rebecca St,Oakville,Ontario,43.38504947,-79.73498293,Non-Networked,2,0.0,Unknown,PLANNED - not yet accessible (Public),Unknown,
210198,Shell Canada Ltd,1235 Appleby Line,Burlington,Ontario,43.38759715,-79.78045248,Non-Networked,2,0.0,Unknown,PLANNED - not yet accessible (Public),Unknown,
158051,Nike Factory Store,3509 Wyecroft Rd,Oakville,Ontario,43.3964291,-79.7494071,Non-Networked,2,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
129496,FLO - Canadian Tire - Burlington,2070 Appleby Line,Burlington,Ontario,43.396617,-79.795893,FLO,2,2.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2019-07-17
129497,FLO - Canadian Tire - Cambridge North,239 Fountain St S,Cambridge,Ontario,43.398023,-80.370483,FLO,1,2.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2019-07-17
87669,Scotiabank,544 Hespeler Rd,Cambridge,Ontario,43.401841,-80.32671,Non-Networked,1,0.0,CHADEMO J1772COMBO,TEMPORARILY UNAVAILABLE (Public),24 hours daily,2017-06-01
122315,SmartCentres Cambridge - Tesla Supercharger,22 Pinebush Road,Cambridge,Ontario,43.408785,-80.325434,Tesla,16,0.0,TESLA,Public,24 hours daily; for Tesla use only,2019-03-01
156673,Hydro One Inc,145 McGovern Dr,Cambridge,Ontario,43.409694,-80.3359789,Non-Networked,3,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
129499,FLO - Cadillac Fairview - Fairview Park Mall,2960 Kingsway Dr,Kitchener,Ontario,43.425241,-80.439443,FLO,1,2.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2019-07-17
94470,Tim Horton's,1530 N Service Rd W,Oakville,Ontario,43.42637,-79.726171,Non-Networked,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2020-06-01
